Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,4.0,-0.35928618219518194,-0.35928618219518194
2024-10-14,5.0,-0.17541619483647114,-0.17541619483647114
2024-10-15,3.0,-0.5431561695538927,-0.5431561695538927
2024-10-16,5.0,-0.17541619483647114,-0.17541619483647114
2024-10-17,3.5,-0.4512211758745373,-0.4512211758745373
2024-10-20,4.5,-0.2673511885158265,-0.2673511885158265
2024-10-21,6.5,0.10038878620159504,0.10038878620159504
2024-10-22,6.0,0.008453792522239647,0.008453792522239647
2024-10-23,6.0,0.008453792522239647,0.008453792522239647
2024-10-24,6.0,0.008453792522239647,0.008453792522239647
2024-10-27,19.0,2.39876362818548,2.39876362818548
2024-10-28,5.0,-0.17541619483647114,-0.17541619483647114
2024-10-29,5.5,-0.08348120115711574,-0.08348120115711574
2024-11-03,8.0,0.37619376723966125,0.37619376723966125
2024-11-04,5.0,-0.17541619483647114,-0.17541619483647114
2024-11-05,50.0,8.098733236305513,8.098733236305513
2024-11-06,4.5,-0.2673511885158265,-0.2673511885158265
2024-11-07,7.0,0.19232377988095042,0.19232377988095042
2024-11-10,8.5,0.4681287609190166,0.4681287609190166
2024-11-11,6.5,0.10038878620159504,0.10038878620159504
2024-11-12,5.0,-0.17541619483647114,-0.17541619483647114
2024-11-17,4.5,-0.2673511885158265,-0.2673511885158265
2024-11-18,4.5,-0.2673511885158265,-0.2673511885158265
2024-11-19,4.5,-0.2673511885158265,-0.2673511885158265
2024-11-20,2.5,-0.6350911632332481,-0.6350911632332481
2024-11-21,3.5,-0.4512211758745373,-0.4512211758745373
2024-11-24,9.5,0.6519987482777274,0.6519987482777274
2024-11-25,6.5,0.10038878620159504,0.10038878620159504
2024-11-26,3.0,-0.5431561695538927,-0.5431561695538927
2024-11-28,3.5,-0.4512211758745373,-0.4512211758745373
2024-12-01,9.0,0.560063754598372,0.560063754598372
2024-12-02,7.5,0.2842587735603058,0.2842587735603058
2024-12-03,6.0,0.008453792522239647,0.008453792522239647
2024-12-04,4.0,-0.35928618219518194,-0.35928618219518194
2024-12-05,4.5,-0.2673511885158265,-0.2673511885158265
2024-12-08,5.0,-0.17541619483647114,-0.17541619483647114
2024-12-09,3.5,-0.4512211758745373,-0.4512211758745373
2024-12-10,4.0,-0.35928618219518194,-0.35928618219518194
2024-12-15,2.5,-0.6350911632332481,-0.6350911632332481
2024-12-16,3.0,-0.5431561695538927,-0.5431561695538927
2024-12-17,2.5,-0.6350911632332481,-0.6350911632332481
2024-12-18,5.0,-0.17541619483647114,-0.17541619483647114
2024-12-22,4.0,-0.35928618219518194,-0.35928618219518194
2024-12-23,2.5,-0.6350911632332481,-0.6350911632332481
2024-12-25,6.5,0.10038878620159504,0.10038878620159504
2024-12-26,4.5,-0.2673511885158265,-0.2673511885158265
2024-12-29,3.0,-0.5431561695538927,-0.5431561695538927
2024-12-30,5.0,-0.17541619483647114,-0.17541619483647114
2025-01-01,7.5,0.2842587735603058,0.2842587735603058
2025-01-02,3.0,-0.5431561695538927,-0.5431561695538927
2025-01-05,7.5,0.2842587735603058,0.2842587735603058
2025-01-06,5.0,-0.17541619483647114,-0.17541619483647114
2025-01-07,4.0,-0.35928618219518194,-0.35928618219518194
2025-01-08,6.5,0.10038878620159504,0.10038878620159504
2025-01-09,4.5,-0.2673511885158265,-0.2673511885158265
2025-01-12,7.5,0.2842587735603058,0.2842587735603058
2025-01-13,4.0,-0.35928618219518194,-0.35928618219518194
2025-01-16,2.5,-0.6350911632332481,-0.6350911632332481
2025-01-19,3.0,-0.5431561695538927,-0.5431561695538927
2025-01-20,12.5,1.2036087103538597,1.2036087103538597
2025-01-21,3.5,-0.4512211758745373,-0.4512211758745373
2025-01-22,3.0,-0.5431561695538927,-0.5431561695538927
2025-01-23,5.0,-0.17541619483647114,-0.17541619483647114
2025-01-26,10.5,0.8358687356364382,0.8358687356364382
2025-01-27,5.0,-0.17541619483647114,-0.17541619483647114
2025-01-28,4.0,-0.35928618219518194,-0.35928618219518194
2025-01-29,4.5,-0.2673511885158265,-0.2673511885158265
2025-02-02,17.5,2.1229586471474136,2.1229586471474136
2025-02-03,4.0,-0.35928618219518194,-0.35928618219518194
2025-02-04,5.0,-0.17541619483647114,-0.17541619483647114
2025-02-05,3.5,-0.4512211758745373,-0.4512211758745373
2025-02-06,3.5,-0.4512211758745373,-0.4512211758745373
2025-02-09,4.5,-0.2673511885158265,-0.2673511885158265
2025-02-10,3.5,-0.4512211758745373,-0.4512211758745373
2025-02-11,6.5,0.10038878620159504,0.10038878620159504
2025-02-16,5.5,-0.08348120115711574,-0.08348120115711574
2025-02-17,6.5,0.10038878620159504,0.10038878620159504
2025-02-18,2.5,-0.6350911632332481,-0.6350911632332481
2025-02-19,4.0,-0.35928618219518194,-0.35928618219518194
2025-02-20,5.0,-0.17541619483647114,-0.17541619483647114
2025-02-23,4.0,-0.35928618219518194,-0.35928618219518194
2025-02-24,7.0,0.19232377988095042,0.19232377988095042
2025-02-25,9.5,0.6519987482777274,0.6519987482777274
2025-02-26,9.5,0.6519987482777274,0.6519987482777274
2025-03-02,7.5,0.2842587735603058,0.2842587735603058
2025-03-03,11.5,1.019738722995149,1.019738722995149
2025-03-04,12.5,1.2036087103538597,1.2036087103538597
2025-03-05,11.0,0.9278037293157936,0.9278037293157936
2025-03-06,7.5,0.2842587735603058,0.2842587735603058
2025-03-09,9.0,0.560063754598372,0.560063754598372
2025-03-10,12.5,1.2036087103538597,1.2036087103538597
2025-03-11,7.5,0.2842587735603058,0.2842587735603058
2025-03-16,6.5,0.10038878620159504,0.10038878620159504
2025-03-17,4.5,-0.2673511885158265,-0.2673511885158265
2025-03-18,4.0,-0.35928618219518194,-0.35928618219518194
2025-03-19,8.5,0.4681287609190166,0.4681287609190166
2025-03-20,4.0,-0.35928618219518194,-0.35928618219518194
2025-03-23,5.0,-0.17541619483647114,-0.17541619483647114
2025-03-24,2.5,-0.6350911632332481,-0.6350911632332481
2025-03-25,5.0,-0.17541619483647114,-0.17541619483647114
2025-03-26,5.0,-0.17541619483647114,-0.17541619483647114
2025-03-30,10.5,0.8358687356364382,0.8358687356364382
2025-03-31,5.0,-0.17541619483647114,-0.17541619483647114
2025-04-01,6.5,0.10038878620159504,0.10038878620159504
2025-04-02,16.0,1.8471536661093475,1.8471536661093475
2025-04-03,16.0,1.8471536661093475,1.8471536661093475
2025-04-06,27.0,3.8697235270551658,3.8697235270551658
2025-04-07,12.5,1.2036087103538597,1.2036087103538597
2025-04-08,51.0,8.282603223664225,8.282603223664225
2025-04-09,23.5,3.226178571299678,3.226178571299678
2025-04-13,15.5,1.755218672429992,1.755218672429992
2025-04-14,9.5,0.6519987482777274,0.6519987482777274
2025-04-15,5.5,-0.08348120115711574,-0.08348120115711574
2025-04-16,8.5,0.4681287609190166,0.4681287609190166
2025-04-20,10.5,0.8358687356364382,0.8358687356364382
2025-04-21,6.0,0.008453792522239647,0.008453792522239647
2025-04-22,10.0,0.7439337419570828,0.7439337419570828
2025-04-23,6.0,0.008453792522239647,0.008453792522239647
2025-04-24,5.0,-0.17541619483647114,-0.17541619483647114
2025-04-27,7.5,0.2842587735603058,0.2842587735603058
2025-04-28,3.0,-0.5431561695538927,-0.5431561695538927
2025-04-29,6.0,0.008453792522239647,0.008453792522239647
2025-05-01,8.0,0.37619376723966125,0.37619376723966125
2025-05-04,9.5,0.6519987482777274,0.6519987482777274
2025-05-05,6.5,0.10038878620159504,0.10038878620159504
2025-05-06,7.5,0.2842587735603058,0.2842587735603058
2025-05-07,5.0,-0.17541619483647114,-0.17541619483647114
2025-05-08,6.0,0.008453792522239647,0.008453792522239647
2025-05-11,4.0,-0.35928618219518194,-0.35928618219518194
2025-05-12,4.0,-0.35928618219518194,-0.35928618219518194
2025-05-14,4.5,-0.2673511885158265,-0.2673511885158265
2025-05-18,12.0,1.1116737166745043,1.1116737166745043
2025-05-19,4.5,-0.2673511885158265,-0.2673511885158265
2025-05-20,10.0,0.7439337419570828,0.7439337419570828
2025-05-21,6.0,0.008453792522239647,0.008453792522239647
2025-05-22,4.5,-0.2673511885158265,-0.2673511885158265
2025-05-25,8.5,0.4681287609190166,0.4681287609190166
2025-05-26,6.5,0.10038878620159504,0.10038878620159504
2025-05-27,7.0,0.19232377988095042,0.19232377988095042
2025-05-28,12.5,1.2036087103538597,1.2036087103538597
2025-06-01,16.0,1.8471536661093475,1.8471536661093475
2025-06-02,11.5,1.019738722995149,1.019738722995149
2025-06-03,4.0,-0.35928618219518194,-0.35928618219518194
2025-06-04,5.0,-0.17541619483647114,-0.17541619483647114
2025-06-05,3.0,-0.5431561695538927,-0.5431561695538927
2025-06-08,5.5,-0.08348120115711574,-0.08348120115711574
2025-06-09,4.5,-0.2673511885158265,-0.2673511885158265
2025-06-10,5.5,-0.08348120115711574,-0.08348120115711574
2025-06-15,8.5,0.4681287609190166,0.4681287609190166
2025-06-16,6.5,0.10038878620159504,0.10038878620159504
2025-06-17,6.5,0.10038878620159504,0.10038878620159504
2025-06-18,4.5,-0.2673511885158265,-0.2673511885158265
2025-06-19,4.5,-0.2673511885158265,-0.2673511885158265
2025-06-22,12.0,1.1116737166745043,1.1116737166745043
2025-06-23,4.5,-0.2673511885158265,-0.2673511885158265
2025-06-24,2.5,-0.6350911632332481,-0.6350911632332481
2025-06-25,5.5,-0.08348120115711574,-0.08348120115711574
2025-06-29,6.0,0.008453792522239647,0.008453792522239647
2025-06-30,7.5,0.2842587735603058,0.2842587735603058
2025-07-01,3.5,-0.4512211758745373,-0.4512211758745373
2025-07-02,5.5,-0.08348120115711574,-0.08348120115711574
2025-07-06,4.5,-0.2673511885158265,-0.2673511885158265
2025-07-07,4.5,-0.2673511885158265,-0.2673511885158265
2025-07-08,3.5,-0.4512211758745373,-0.4512211758745373
2025-07-09,5.0,-0.17541619483647114,-0.17541619483647114
2025-07-10,6.0,0.008453792522239647,0.008453792522239647
2025-07-13,0.0,-1.094766131630025,-1.094766131630025
2025-07-14,3.5,-0.4512211758745373,-0.4512211758745373
2025-07-21,4.0,-0.35928618219518194,-0.35928618219518194
2025-07-22,5.5,-0.08348120115711574,-0.08348120115711574
2025-07-23,4.0,-0.35928618219518194,-0.35928618219518194
2025-07-24,3.5,-0.4512211758745373,-0.4512211758745373
2025-07-27,0.0,-1.094766131630025,-1.094766131630025
2025-07-28,3.5,-0.4512211758745373,-0.4512211758745373
2025-07-29,2.0,-0.7270261569126035,-0.7270261569126035
2025-08-03,0.0,-1.094766131630025,-1.094766131630025
2025-08-04,3.5,-0.4512211758745373,-0.4512211758745373
2025-08-05,3.5,-0.4512211758745373,-0.4512211758745373
2025-08-06,4.0,-0.35928618219518194,-0.35928618219518194
2025-08-07,3.0,-0.5431561695538927,-0.5431561695538927
2025-08-10,0.0,-1.094766131630025,-1.094766131630025
2025-08-11,4.0,-0.35928618219518194,-0.35928618219518194
2025-08-13,3.0,-0.5431561695538927,-0.5431561695538927
2025-08-17,0.0,-1.094766131630025,-1.094766131630025
2025-08-18,3.5,-0.4512211758745373,-0.4512211758745373
2025-08-19,3.0,-0.5431561695538927,-0.5431561695538927
2025-08-20,3.5,-0.4512211758745373,-0.4512211758745373
2025-08-21,2.5,-0.6350911632332481,-0.6350911632332481
2025-08-24,0.0,-1.094766131630025,-1.094766131630025
2025-08-25,12.5,1.2036087103538597,1.2036087103538597
2025-08-26,2.0,-0.7270261569126035,-0.7270261569126035
2025-08-27,5.0,-0.17541619483647114,-0.17541619483647114
2025-08-31,6.5,0.10038878620159504,0.10038878620159504
2025-09-02,6.0,0.008453792522239647,0.008453792522239647
2025-09-03,10.0,0.7439337419570828,0.7439337419570828
2025-09-04,10.5,0.8358687356364382,0.8358687356364382
2025-09-07,7.5,0.2842587735603058,0.2842587735603058
2025-09-08,2.0,-0.7270261569126035,-0.7270261569126035
2025-09-14,0.0,-1.094766131630025,-1.094766131630025
2025-09-15,3.0,-0.5431561695538927,-0.5431561695538927
2025-09-16,2.5,-0.6350911632332481,-0.6350911632332481
2025-09-17,6.5,0.10038878620159504,0.10038878620159504
2025-09-18,3.0,-0.5431561695538927,-0.5431561695538927
2025-09-21,0.0,-1.094766131630025,-1.094766131630025
2025-09-22,2.5,-0.6350911632332481,-0.6350911632332481
2025-09-23,2.5,-0.6350911632332481,-0.6350911632332481
2025-09-24,3.5,-0.4512211758745373,-0.4512211758745373
2025-09-28,5.0,-0.17541619483647114,-0.17541619483647114
2025-09-29,2.5,-0.6350911632332481,-0.6350911632332481
2025-09-30,3.5,-0.4512211758745373,-0.4512211758745373
2025-10-01,3.0,-0.5431561695538927,-0.5431561695538927
2025-10-02,3.0,-0.5431561695538927,-0.5431561695538927
2025-10-05,0.0,-1.094766131630025,-1.094766131630025
2025-10-06,3.0,-0.5431561695538927,-0.5431561695538927
2025-10-07,3.0,-0.5431561695538927,-0.5431561695538927
2025-10-08,3.0,-0.5431561695538927,-0.5431561695538927
2025-10-09,3.0,-0.5431561695538927,-0.5431561695538927
2025-10-12,0.0,-1.094766131630025,-1.094766131630025
2025-10-13,5.0,-0.17541619483647114,-0.17541619483647114
2025-10-14,7.5,0.2842587735603058,0.2842587735603058
2025-10-19,0.0,-1.094766131630025,-1.094766131630025
2025-10-20,2.5,-0.6350911632332481,-0.6350911632332481
2025-10-21,3.5,-0.4512211758745373,-0.4512211758745373
2025-10-22,3.0,-0.5431561695538927,-0.5431561695538927
2025-10-23,2.5,-0.6350911632332481,-0.6350911632332481
2025-10-26,0.0,-1.094766131630025,-1.094766131630025
2025-10-27,3.0,-0.5431561695538927,-0.5431561695538927
2025-10-28,2.5,-0.6350911632332481,-0.6350911632332481
2025-10-29,3.0,-0.5431561695538927,-0.5431561695538927
2025-11-02,5.0,-0.17541619483647114,-0.17541619483647114
2025-11-03,3.0,-0.5431561695538927,-0.5431561695538927
2025-11-04,7.5,0.2842587735603058,0.2842587735603058
2025-11-05,3.0,-0.5431561695538927,-0.5431561695538927
2025-11-06,3.5,-0.4512211758745373,-0.4512211758745373
2025-11-09,9.5,0.6519987482777274,0.6519987482777274
2025-11-10,2.0,-0.7270261569126035,-0.7270261569126035
2025-11-11,3.5,-0.4512211758745373,-0.4512211758745373
2025-11-12,3.5,-0.4512211758745373,-0.4512211758745373
2025-11-16,3.0,-0.5431561695538927,-0.5431561695538927
2025-11-17,7.5,0.2842587735603058,0.2842587735603058
2025-11-18,2.5,-0.6350911632332481,-0.6350911632332481
2025-11-19,3.5,-0.4512211758745373,-0.4512211758745373
2025-11-23,2.0,-0.7270261569126035,-0.7270261569126035
2025-11-24,3.0,-0.5431561695538927,-0.5431561695538927
2025-11-30,13.0,1.2955437040332152,1.2955437040332152
2025-12-01,3.0,-0.5431561695538927,-0.5431561695538927
2025-12-02,11.0,0.9278037293157936,0.9278037293157936
2025-12-03,4.0,-0.35928618219518194,-0.35928618219518194
2025-12-04,3.5,-0.4512211758745373,-0.4512211758745373
2025-12-07,14.0,1.479413691391926,1.479413691391926
2025-12-08,13.0,1.2955437040332152,1.2955437040332152
2025-12-09,2.5,-0.6350911632332481,-0.6350911632332481
2025-12-10,9.0,0.560063754598372,0.560063754598372
2025-12-14,14.0,1.479413691391926,1.479413691391926
2025-12-15,3.5,-0.4512211758745373,-0.4512211758745373
2025-12-17,4.0,-0.35928618219518194,-0.35928618219518194
2025-12-21,6.0,0.008453792522239647,0.008453792522239647
2025-12-22,4.0,-0.35928618219518194,-0.35928618219518194
2025-12-28,4.5,-0.2673511885158265,-0.2673511885158265
2025-12-29,4.0,-0.35928618219518194,-0.35928618219518194
2025-12-30,3.0,-0.5431561695538927,-0.5431561695538927
