Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-09-30,4.25,0.22078873843850524,0.22078873843850524
2024-10-01,5.75,0.9873578196643266,0.9873578196643266
2024-10-02,4.25,0.22078873843850524,0.22078873843850524
2024-10-03,2.75,-0.5457803427873161,-0.5457803427873161
2024-10-07,6.0,1.1151193332019635,1.1151193332019635
2024-10-08,3.75,-0.03473428863676854,-0.03473428863676854
2024-10-09,2.0,-0.9290648834002267,-0.9290648834002267
2024-10-14,3.5,-0.16249580217440543,-0.16249580217440543
2024-10-15,3.5,-0.16249580217440543,-0.16249580217440543
2024-10-16,3.5,-0.16249580217440543,-0.16249580217440543
2024-10-17,1.75,-1.0568263969378637,-1.0568263969378637
2024-10-18,2.75,-0.5457803427873161,-0.5457803427873161
2024-10-21,6.5,1.3706423602772373,1.3706423602772373
2024-10-22,2.0,-0.9290648834002267,-0.9290648834002267
2024-10-23,2.0,-0.9290648834002267,-0.9290648834002267
2024-10-24,4.25,0.22078873843850524,0.22078873843850524
2024-10-25,3.0,-0.4180188292496792,-0.4180188292496792
2024-10-28,4.25,0.22078873843850524,0.22078873843850524
2024-10-29,5.25,0.7318347925890528,0.7318347925890528
2024-11-04,4.25,0.22078873843850524,0.22078873843850524
2024-11-05,3.5,-0.16249580217440543,-0.16249580217440543
2024-11-06,10.25,3.2870650633417906,3.2870650633417906
2024-11-07,5.25,0.7318347925890528,0.7318347925890528
2024-11-08,5.5,0.8595963061266897,0.8595963061266897
2024-11-11,3.5,-0.16249580217440543,-0.16249580217440543
2024-11-12,5.0,0.604073279051416,0.604073279051416
2024-11-15,5.25,0.7318347925890528,0.7318347925890528
2024-11-18,4.75,0.476311765513779,0.476311765513779
2024-11-19,7.75,2.0094499279654214,2.0094499279654214
2024-11-20,3.5,-0.16249580217440543,-0.16249580217440543
2024-11-21,4.0,0.09302722490086834,0.09302722490086834
2024-11-22,4.25,0.22078873843850524,0.22078873843850524
2024-11-25,4.25,0.22078873843850524,0.22078873843850524
2024-11-26,2.5,-0.673541856324953,-0.673541856324953
2024-11-28,4.75,0.476311765513779,0.476311765513779
2024-12-02,5.5,0.8595963061266897,0.8595963061266897
2024-12-03,4.75,0.476311765513779,0.476311765513779
2024-12-04,3.5,-0.16249580217440543,-0.16249580217440543
2024-12-05,5.25,0.7318347925890528,0.7318347925890528
2024-12-09,5.75,0.9873578196643266,0.9873578196643266
2024-12-10,6.75,1.4984038738148742,1.4984038738148742
2024-12-13,3.75,-0.03473428863676854,-0.03473428863676854
2024-12-16,2.25,-0.8013033698625899,-0.8013033698625899
2024-12-17,4.75,0.476311765513779,0.476311765513779
2024-12-18,3.25,-0.29025731571204233,-0.29025731571204233
2024-12-23,3.0,-0.4180188292496792,-0.4180188292496792
2024-12-26,1.75,-1.0568263969378637,-1.0568263969378637
2024-12-27,4.5,0.34855025197614214,0.34855025197614214
2024-12-30,3.5,-0.16249580217440543,-0.16249580217440543
2024-12-31,2.5,-0.673541856324953,-0.673541856324953
2025-01-02,6.5,1.3706423602772373,1.3706423602772373
2025-01-03,2.75,-0.5457803427873161,-0.5457803427873161
2025-01-06,5.75,0.9873578196643266,0.9873578196643266
2025-01-07,3.75,-0.03473428863676854,-0.03473428863676854
2025-01-08,4.0,0.09302722490086834,0.09302722490086834
2025-01-09,2.75,-0.5457803427873161,-0.5457803427873161
2025-01-13,2.25,-0.8013033698625899,-0.8013033698625899
2025-01-16,2.75,-0.5457803427873161,-0.5457803427873161
2025-01-17,3.0,-0.4180188292496792,-0.4180188292496792
2025-01-20,3.0,-0.4180188292496792,-0.4180188292496792
2025-01-21,6.75,1.4984038738148742,1.4984038738148742
2025-01-22,3.75,-0.03473428863676854,-0.03473428863676854
2025-01-23,4.5,0.34855025197614214,0.34855025197614214
2025-01-24,4.0,0.09302722490086834,0.09302722490086834
2025-01-27,11.25,3.798111117492338,3.798111117492338
2025-01-28,3.75,-0.03473428863676854,-0.03473428863676854
2025-01-29,2.75,-0.5457803427873161,-0.5457803427873161
2025-02-03,5.25,0.7318347925890528,0.7318347925890528
2025-02-04,4.5,0.34855025197614214,0.34855025197614214
2025-02-05,4.5,0.34855025197614214,0.34855025197614214
2025-02-06,2.75,-0.5457803427873161,-0.5457803427873161
2025-02-10,3.0,-0.4180188292496792,-0.4180188292496792
2025-02-11,3.5,-0.16249580217440543,-0.16249580217440543
2025-02-14,2.75,-0.5457803427873161,-0.5457803427873161
2025-02-17,2.0,-0.9290648834002267,-0.9290648834002267
2025-02-18,1.75,-1.0568263969378637,-1.0568263969378637
