Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,1.125,-0.9503069664768206,-0.9503069664768206
2024-10-15,1.75,-0.6335379776512137,-0.6335379776512137
2024-10-16,1.25,-0.8869531687116992,-0.8869531687116992
2024-10-17,1.125,-0.9503069664768206,-0.9503069664768206
2024-10-18,1.125,-0.9503069664768206,-0.9503069664768206
2024-10-21,2.875,-0.06335379776512137,-0.06335379776512137
2024-10-22,2.25,-0.38012278659072823,-0.38012278659072823
2024-10-23,1.25,-0.8869531687116992,-0.8869531687116992
2024-10-24,2.625,-0.19006139329536412,-0.19006139329536412
2024-10-25,4.25,0.6335379776512137,0.6335379776512137
2024-10-28,3.75,0.38012278659072823,0.38012278659072823
2024-10-29,3.125,0.06335379776512137,0.06335379776512137
2024-11-04,4.625,0.8235993709465778,0.8235993709465778
2024-11-05,4.375,0.6968917754163351,0.6968917754163351
2024-11-06,3.875,0.4434765843558496,0.4434765843558496
2024-11-07,4.5,0.7602455731814565,0.7602455731814565
2024-11-08,4.125,0.5701841798860923,0.5701841798860923
2024-11-11,1.25,-0.8869531687116992,-0.8869531687116992
2024-11-12,2.125,-0.4434765843558496,-0.4434765843558496
2024-11-15,6.875,1.9639677307187624,1.9639677307187624
2024-11-18,3.25,0.12670759553024274,0.12670759553024274
2024-11-19,2.0,-0.506830382120971,-0.506830382120971
2024-11-20,1.75,-0.6335379776512137,-0.6335379776512137
2024-11-21,4.625,0.8235993709465778,0.8235993709465778
2024-11-22,1.875,-0.5701841798860923,-0.5701841798860923
2024-11-25,2.75,-0.12670759553024274,-0.12670759553024274
2024-11-26,2.125,-0.4434765843558496,-0.4434765843558496
2024-11-28,0.625,-1.203722157537306,-1.203722157537306
2024-11-29,5.375,1.203722157537306,1.203722157537306
2024-12-02,6.625,1.8372601351885196,1.8372601351885196
2024-12-03,5.5,1.2670759553024273,1.2670759553024273
2024-12-04,4.0,0.506830382120971,0.506830382120971
2024-12-05,5.25,1.1403683597721845,1.1403683597721845
2024-12-09,3.25,0.12670759553024274,0.12670759553024274
2024-12-10,3.375,0.19006139329536412,0.19006139329536412
2024-12-13,3.25,0.12670759553024274,0.12670759553024274
2024-12-16,2.0,-0.506830382120971,-0.506830382120971
2024-12-17,1.375,-0.8235993709465778,-0.8235993709465778
2024-12-18,10.625,3.8645816636724035,3.8645816636724035
2024-12-23,2.25,-0.38012278659072823,-0.38012278659072823
2024-12-24,2.75,-0.12670759553024274,-0.12670759553024274
2024-12-26,4.0,0.506830382120971,0.506830382120971
2024-12-27,2.875,-0.06335379776512137,-0.06335379776512137
2024-12-30,1.75,-0.6335379776512137,-0.6335379776512137
2024-12-31,3.875,0.4434765843558496,0.4434765843558496
2025-01-02,4.625,0.8235993709465778,0.8235993709465778
2025-01-03,2.625,-0.19006139329536412,-0.19006139329536412
2025-01-06,2.5,-0.2534151910604855,-0.2534151910604855
2025-01-07,1.625,-0.6968917754163351,-0.6968917754163351
2025-01-08,2.0,-0.506830382120971,-0.506830382120971
2025-01-09,1.5,-0.7602455731814565,-0.7602455731814565
2025-01-13,1.875,-0.5701841798860923,-0.5701841798860923
2025-01-16,6.25,1.6471987418931555,1.6471987418931555
2025-01-17,2.5,-0.2534151910604855,-0.2534151910604855
2025-01-20,1.875,-0.5701841798860923,-0.5701841798860923
2025-01-21,1.875,-0.5701841798860923,-0.5701841798860923
2025-01-22,2.875,-0.06335379776512137,-0.06335379776512137
2025-01-23,1.75,-0.6335379776512137,-0.6335379776512137
2025-01-24,2.375,-0.31676898882560683,-0.31676898882560683
2025-01-27,3.25,0.12670759553024274,0.12670759553024274
2025-01-28,2.125,-0.4434765843558496,-0.4434765843558496
2025-01-29,5.375,1.203722157537306,1.203722157537306
2025-02-03,3.375,0.19006139329536412,0.19006139329536412
2025-02-04,1.625,-0.6968917754163351,-0.6968917754163351
2025-02-05,1.75,-0.6335379776512137,-0.6335379776512137
2025-02-06,2.125,-0.4434765843558496,-0.4434765843558496
2025-02-10,2.5,-0.2534151910604855,-0.2534151910604855
2025-02-11,1.5,-0.7602455731814565,-0.7602455731814565
2025-02-14,1.875,-0.5701841798860923,-0.5701841798860923
2025-02-17,0.5,-1.2670759553024273,-1.2670759553024273
2025-02-18,2.5,-0.2534151910604855,-0.2534151910604855
2025-02-19,1.75,-0.6335379776512137,-0.6335379776512137
2025-02-20,0.875,-1.0770145620070632,-1.0770145620070632
2025-02-21,4.25,0.6335379776512137,0.6335379776512137
2025-02-24,2.375,-0.31676898882560683,-0.31676898882560683
2025-02-25,2.75,-0.12670759553024274,-0.12670759553024274
2025-02-26,7.875,2.4707981128397334,2.4707981128397334
2025-03-03,5.625,1.3304297530675488,1.3304297530675488
2025-03-04,12.5,4.814888630149224,4.814888630149224
2025-03-05,7.5,2.280736719544369,2.280736719544369
2025-03-06,6.875,1.9639677307187624,1.9639677307187624
2025-03-10,4.875,0.9503069664768206,0.9503069664768206
2025-03-11,7.375,2.217382921779248,2.217382921779248
2025-03-14,4.0,0.506830382120971,0.506830382120971
2025-03-17,4.375,0.6968917754163351,0.6968917754163351
2025-03-18,4.375,0.6968917754163351,0.6968917754163351
2025-03-19,7.375,2.217382921779248,2.217382921779248
2025-03-20,3.375,0.19006139329536412,0.19006139329536412
2025-03-21,3.25,0.12670759553024274,0.12670759553024274
2025-03-24,1.75,-0.6335379776512137,-0.6335379776512137
2025-03-25,2.25,-0.38012278659072823,-0.38012278659072823
2025-03-26,2.75,-0.12670759553024274,-0.12670759553024274
2025-03-31,4.0,0.506830382120971,0.506830382120971
2025-04-01,3.25,0.12670759553024274,0.12670759553024274
2025-04-02,6.375,1.710552539658277,1.710552539658277
2025-04-03,5.875,1.4571373485977914,1.4571373485977914
2025-04-04,13.25,5.195011416739952,5.195011416739952
2025-04-07,6.5,1.7739063374233983,1.7739063374233983
2025-04-08,7.0,2.027321528483884,2.027321528483884
2025-04-09,12.375,4.7515348323841025,4.7515348323841025
2025-04-14,6.25,1.6471987418931555,1.6471987418931555
2025-04-15,4.375,0.6968917754163351,0.6968917754163351
2025-04-16,5.125,1.0770145620070632,1.0770145620070632
2025-04-17,3.875,0.4434765843558496,0.4434765843558496
2025-04-21,4.75,0.8869531687116992,0.8869531687116992
2025-04-22,2.5,-0.2534151910604855,-0.2534151910604855
2025-04-23,4.875,0.9503069664768206,0.9503069664768206
2025-04-24,2.875,-0.06335379776512137,-0.06335379776512137
