"(Return Stats:- Interval:1m, Symbol:ZB)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,237.0,237.0,240.0,227.0,261.0,305.0
mean,3.99789029535865,3.9915611814345993,4.810416666666667,2.013215859030837,2.7203065134099615,7.460655737704918
std,3.4044144728819568,3.514186215295779,3.871969841473142,1.9994029556001018,3.9485062294682685,8.698159943959348
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.40000000000000036,0.40000000000000036,0.5,0.0,0.0,0.0
25%,1.5,1.5,1.5,0.5,0.5,2.0
50%,3.0,3.0,3.5,1.5,2.0,5.0
68%,5.0,4.5,6.5,2.5,3.0,8.360000000000014
90%,8.0,8.5,10.0,4.0,5.5,16.80000000000001
95%,10.0,10.0,12.5,5.349999999999994,7.5,20.400000000000006
99%,15.319999999999993,15.319999999999993,16.5,10.370000000000005,12.599999999999966,28.95999999999998
99.7%,20.066000000000017,21.146,16.782999999999987,12.661000000000001,32.46000000000049,65.56800000000052
max,27.5,21.5,17.5,13.0,46.5,87.0
