"(Vol Return Stats:- Interval:1m, Symbol:ZB)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,237.0,237.0,240.0,227.0,261.0,305.0
mean,8.384051230386337,8.637130801687764,9.285416666666666,4.828193832599119,5.954022988505747,15.175423043673156
std,4.421384489930251,3.9328544691090848,4.51042444742791,3.2292904228063866,5.438625489482992,10.163195972453716
min,2.5,2.0,1.5,1.5,0.0,0.0
5%,4.5,4.0,3.5,2.0,2.0,3.0
25%,6.0,6.0,6.0,3.0,3.5,9.5
50%,7.5,8.0,8.0,4.0,4.5,14.5
68%,9.0,9.5,10.5,5.0,6.0,17.5
90%,12.0,13.400000000000006,15.0,9.0,10.5,24.30000000000001
95%,13.599999999999994,16.0,17.5,10.849999999999994,13.0,28.5
99%,25.95999999999998,22.599999999999966,23.109999999999985,18.24000000000001,24.89999999999992,49.639999999999816
99.7%,35.278000000000034,24.814000000000007,24.641499999999994,21.12700000000001,50.22000000000003,78.62800000000041
max,50.5,28.0,25.0,23.5,51.0,95.5
