"(Return Stats:- Interval:1m, Symbol:ZF)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,237.0,237.0,240.0,227.0,260.0,304.0
mean,1.110759493670886,1.3016877637130801,1.5744791666666667,0.579295154185022,0.83125,2.2018914473684212
std,1.038134252305506,1.2009848975442197,1.530670484936379,0.6022778929083722,1.0108350627729898,2.1936232121215107
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.125,0.125,0.0,0.0,0.0,0.0
25%,0.5,0.5,0.5,0.1875,0.25,0.625
50%,0.75,1.125,1.1875,0.375,0.625,1.75
68%,1.25,1.375,1.875,0.625,0.875,2.625
90%,2.25,2.625,3.3874999999999993,1.25,1.75,4.837499999999999
95%,2.75,3.5,4.631249999999998,1.625,2.381249999999998,6.106249999999996
99%,5.699999999999974,5.784999999999997,6.2287499999999945,2.990000000000009,4.7400000000000375,10.481249999999982
99.7%,6.521000000000001,6.584000000000003,9.945749999999997,3.6525000000000034,7.750875000000015,13.86375000000001
max,6.875,8.0,10.125,4.5,8.625,15.0
