"(Vol Return Stats:- Interval:1m, Symbol:ZF)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,237.0,237.0,240.0,227.0,260.0,304.0
mean,2.408856741989716,2.7220464135021096,3.0,1.536369962314152,1.9153846153846155,4.649677477384868
std,1.5093204129547393,1.5251499405163407,1.9730466745407513,1.3013968205582696,1.838510142104074,3.2315114441881048
min,0.625,0.5,0.375,0.375,0.0,0.0
5%,1.125,1.125,1.0,0.625,0.5,0.89375
25%,1.5,1.75,1.75,0.875,1.0,2.75
50%,2.0,2.375,2.5,1.125,1.375,4.0
68%,2.5,2.875,3.25,1.4600000000000009,1.8900000000000006,5.255000000000003
90%,4.175000000000001,4.550000000000001,5.387499999999999,2.9250000000000007,3.5,7.875
95%,5.5,5.899999999999999,6.631249999999998,3.875,5.262499999999996,9.443749999999987
99%,7.639999999999986,8.444999999999993,11.692499999999974,7.180000000000007,9.601250000000128,15.742499999999993
99.7%,11.094000000000001,9.042000000000002,12.71224999999999,8.889750000000006,13.557500000000033,18.76212500000007
max,11.625,9.75,13.25,10.5,15.5,26.375
