"(Vol Return Stats:- Interval:15m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,225.0,224.0,242.0,226.0,248.0,289.0
mean,4.2689865451388895,3.8370535714285716,3.76138028231534,2.0841145473243916,2.9788306451612905,7.241370178011462
std,2.356534803036342,2.070698258952386,2.3188745053326563,1.7386547517349569,2.3795487961433177,4.749213252729231
min,1.25,1.25,0.5,0.5,0.0,0.0
5%,2.0,1.75,1.25,0.75,0.1750000000000007,0.8500000000000001
25%,2.75,2.5,2.25,1.25,1.5,4.5
50%,3.5,3.25,3.25,1.5,2.5,6.5
68%,4.75,4.25,4.0,2.0,3.25,8.0
90%,6.649999999999999,6.0,6.975000000000001,3.5,5.25,11.599999999999994
95%,8.0,6.75,8.75,4.1875,6.662499999999994,15.349999999999966
99%,14.339999999999975,12.905000000000015,10.75,11.125,10.3975,23.55000000000001
99.7%,15.664000000000001,14.32924999999998,13.45424999999993,12.893749999999969,16.757249999999893,33.28200000000014
max,16.0,15.5,17.25,14.75,22.5,38.25
