"(Return Stats:- Interval:1h, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,577.0,575.0,570.0,561.0,646.0,738.0
mean,2.065424610051993,2.3578260869565217,2.0956140350877193,1.0668769061246655,1.3862229102167183,4.102650381362212
std,1.8427634936018316,2.0531652213466782,2.0904582939845477,1.19911958277895,1.5184970047170898,3.8455135016471926
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.0,0.25
25%,0.75,1.0,0.5,0.25,0.5,1.0625
50%,1.75,1.75,1.5,0.75,1.0,3.25
68%,2.5,2.75,2.5,1.25,1.5,5.0
90%,4.25,5.0,4.75,2.25,2.75,9.25
95%,5.25,6.25,6.25,3.0,3.5,11.287499999999994
99%,9.050000000000011,9.25,9.077499999999986,6.349999999999994,6.7999999999999545,16.314999999999998
99.7%,12.158000000000072,11.0,10.396500000000003,8.490000000000038,11.88000000000011,21.59174999999999
max,13.5,15.0,19.75,9.75,18.25,31.0
