"(Vol Return Stats:- Interval:1h, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,577.0,575.0,570.0,561.0,646.0,738.0
mean,4.465826659310009,4.963478260869565,4.517543859649122,2.479985691009358,3.2391640866873064,8.311341489879743
std,2.667585038176527,2.799322666792678,2.891931555548044,1.8526341622442053,2.474536727014552,5.073802795239054
min,1.25,0.75,0.75,0.5,0.0,0.0
5%,2.0,2.0,1.5,1.0,1.25,2.0
25%,3.0,3.125,2.5625,1.5,2.0,5.0
50%,3.75,4.25,3.75,2.0,2.5,7.5
68%,4.75,5.5,5.0,2.25,3.25,9.75
90%,6.75,8.5,8.025000000000006,4.0,5.375,14.25
95%,9.299999999999983,10.074999999999989,10.25,7.0,8.5,17.25
99%,15.560000000000002,14.879999999999995,13.404999999999973,10.25,12.524999999999977,26.787499999999994
99.7%,20.84000000000006,18.125500000000045,16.366250000000008,11.5,21.565000000000055,32.34174999999999
max,28.25,24.5,30.0,14.75,23.25,38.25
