"(Return Stats:- Interval:1m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,243.0,244.0,247.0,234.0,268.0,312.0
mean,1.8343621399176955,1.9252049180327868,2.4139676113360324,0.9241452991452992,1.2901119402985075,3.53525641025641
std,1.591747280664503,1.7226074715516801,2.12501488444418,0.9387716361320965,1.7063236612262753,3.611226323709444
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.0,0.0
25%,0.75,0.75,0.75,0.25,0.4375,0.9375
50%,1.5,1.5,1.75,0.75,1.0,2.75
68%,2.25,2.25,3.0700000000000003,1.0,1.5,4.25
90%,3.75,4.0,5.100000000000001,2.0,2.75,7.4750000000000085
95%,4.474999999999994,5.25,6.674999999999997,2.3374999999999986,3.5,9.724999999999994
99%,8.394999999999996,8.142499999999998,8.519999999999996,4.584999999999994,6.494999999999976,15.25
99.7%,9.092500000000001,9.65649999999998,10.375500000000002,6.550999999999988,14.645500000000055,22.369750000000067
max,10.0,10.75,14.25,7.25,18.25,31.0
