"(Vol Return Stats:- Interval:1m, Symbol:ZT)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,237.0,237.0,240.0,227.0,260.0,304.0
mean,1.067550194996045,1.2666139206751057,1.4187499966666668,0.7737138847604638,0.8959134307692326,2.042968736842106
std,1.0911263661383963,1.1424483609415248,1.3288075917054687,1.003636339133702,1.1275836917932538,1.7294709968752335
min,0.1875,0.25,0.1875,0.1875,0.0,0.0
5%,0.3125,0.375,0.375,0.25,0.0,0.25
25%,0.5,0.6875,0.625,0.3125,0.375,1.0625
50%,0.6875,0.875,0.9375003999999763,0.4375,0.5,1.5625
68%,0.9375,1.125,1.25,0.5625,0.75,2.125
90%,2.0250000000000004,2.6125000000000007,3.0687499999999996,1.4250000000000007,1.643749999999999,3.875
95%,3.874999999999993,4.387499999999999,4.693749999999998,2.8374999999999986,3.628124999999999,6.096874999999994
99%,5.454999999999998,5.364999999999995,6.117499999999993,5.122500000000002,5.546250000000022,8.310624999999998
99.7%,5.672000000000001,5.7787500000000005,7.023562499999985,5.491500000000002,6.64700000000002,8.863875000000021
max,5.9375,6.0,7.875,6.0,7.8125,11.25
